	2011-03-18 23:20:22	Soo good! http://bit.ly/h3soXb 
koibraces	2010-09-26 14:08:02	RT @Nave360: Retweet and follow @Nave360 to win Hydrophobia for the Xbox 360! http://bit.ly/9ovUK2 #N360HP
koibraces	2011-10-07 16:01:50	Red is the colour of #RAGE and I want a #REDRAGETEE to wear whilst I unleash the RAGE! http://t.co/uiZOvn4y
koibraces	2010-07-28 20:34:21	RT @GameZoneOnline: Street Fighter &amp; Tekken: Brilliance-in-the-Making or Giant Cash Cow? http://bit.ly/blx2ln RT &amp; Follow 2 win a #UFC shirt
koibraces	2010-08-23 23:28:55	RT @Emma_Willis: If josie doesn&#39;t win this its a travesty.
koibraces	2011-12-16 14:26:15	All I want for Christmas is the FIRST EVER black Assassin&#39;s Creed hoodie from Insert Coin. RT and FOLLOW to WIN! #BlackXmas
koibraces	2011-11-04 09:59:49	I&#39;m #gettingmygeekon with Insert Coin - and I want to win an official Assassin&#39;s Creed hoodie! RT and FOLLOW to enter! http://t.co/BnTUpYtA
koibraces	2012-07-20 20:30:49	Warner Bros. Considering Canceling ALL Showings Of The Dark Knight Rises... http://t.co/2beDFqfC
koibraces	2012-05-26 23:29:12	Hey, I just met you, and this is crazy, but you have the one ring, destroy it maybe?
koibraces	2012-03-10 20:08:07	My name is Commander Shepard and @insertcointees is my favourite store on the Twitadel - gimme 3 tees! Follow &amp; RT to enter #FemShepFriday
koibraces	2012-07-21 01:16:32	What the hell is going on?? My heart is literally broken. All my thoughts and prayers are with the people in Aurora.
koibraces	2012-12-21 09:25:12	Photoset: xwarbrain: christ World didn’t end, but pandas! http://t.co/O9YWP9CN
koibraces	2012-12-15 03:28:59	Photoset: derickjames: XmasWars I need all of them! http://t.co/nyZObT2O
koibraces	2012-12-14 23:11:04	I unlocked the The Hobbit: An Unexpected Journey Opening Weekend sticker on #GetGlue! http://t.co/MmRHaiQs
koibraces	2012-12-14 23:11:01	Hobbit time. http://t.co/kSXYKbUl #GetGlue #TheHobbit
koibraces	2012-12-12 20:00:06	Photo: Looking beardy. http://t.co/Vto4vuvZ
koibraces	2012-12-11 19:45:10	@jaxxiepants WHAT! Linkage! Watch it now. 
http://t.co/zPmlmZ6P
koibraces	2012-12-01 02:43:13	Photoset: This sums up community perfectly. http://t.co/E0H8DXUi
koibraces	2012-11-29 02:36:01	I unlocked the Arrow: Muse of Fire sticker on #GetGlue! http://t.co/SBHeubQX
koibraces	2012-11-27 01:30:56	Photo: the-absolute-funniest-posts: Follow this blog, you’ll love it on your dashboard! http://t.co/9b3R7aQO
koibraces	2012-11-24 13:26:30	Photo: Some lunch time reading. #thewalkingdead http://t.co/S0zO89uK
koibraces	2012-11-21 00:51:03	Need this!  http://t.co/jiO1IIXo
koibraces	2012-11-17 23:32:00	I unlocked the Superhero Gold sticker on #GetGlue! http://t.co/QLw0zyUP
koibraces	2012-11-09 23:02:50	I&#39;m a Superfan of Smallville on #GetGlue http://t.co/9SwcZkqb
koibraces	2012-11-09 23:02:47	I&#39;m watching Smallville http://t.co/et38RqPD #GetGlue @CW_Smallville
koibraces	2012-10-30 04:00:15	Photo: This is one of my best mates dressed as Walter white from breaking bad. http://t.co/BMBfpL06
koibraces	2012-10-27 15:19:34	@Farrantula my Xbox showed me this and I thought inside Xbox was back.  http://t.co/GflpWVqt
koibraces	2012-10-26 10:30:52	I unlocked the Skyfall: Severine sticker on #GetGlue! http://t.co/Ktz3Gr23
koibraces	2012-10-26 10:30:48	Skyfall time!!!! http://t.co/puwsgX5H #GetGlue #Skyfall
koibraces	2012-10-23 12:26:59	Photo: This Made me laugh for far too long. http://t.co/phzs946Q
koibraces	2012-10-22 21:25:57	This is awesome news &#39;Arrow&#39; gets full season http://t.co/OeTnZxw8 #IMDb
koibraces	2012-10-16 21:56:37	This film is crazy good. http://t.co/JWNUoU2b #GetGlue @DragonTattoo
koibraces	2012-10-16 21:55:17	I unlocked the Hollywood Bit Part sticker on #GetGlue! @intel http://t.co/7z2bHB2q
koibraces	2012-10-16 21:55:09	Can&#39;t wait for this film! Just watched the trailer again. http://t.co/QnHes6r2 #GetGlue #Skyfall
koibraces	2012-10-16 01:10:44	Photo: I found a se7en reference in borderlands 2. #videogames #nerdy #se7en #xbox #whatsinthebox (Taken... http://t.co/Mt3Y5b5j
koibraces	2012-10-05 00:56:49	Photo: the-absolute-funniest-posts: gloomyteens: OMG THIS IS AN ACTUAL ARTICLE Follow this blog, you’ll love... http://t.co/tvTQgQqr
koibraces	2012-10-03 22:43:46	@EmbaSaurus you need to watch this http://t.co/ypMTFvh4
koibraces	2012-10-01 02:15:46	Photo: All night long. #HIMYM (Taken with Instagram) http://t.co/1bJHhjoD
koibraces	2012-09-12 22:27:49	I&#39;m watching Sons of Anarchy (479 others checked-in) http://t.co/8xx1Eqnx #GetGlueHD @SonsofAnarchy
koibraces	2012-08-24 12:51:43	35 Reasons Why Aaron Paul Should Be Your Favorite Actor On Television - BuzzFeed Mobile - http://t.co/7NxhilC1
koibraces	2012-08-19 00:41:33	I&#39;m watching Supernatural (168 others checked-in) http://t.co/Ued3VcOH #GetGlueHD #Supernatural
koibraces	2012-08-06 23:26:38	I&#39;m watching Dragonball Z http://t.co/QcMN7Mkg #GetGlueHD #DragonballZ
koibraces	2012-07-27 22:17:31	I&#39;m watching 2012 Summer Olympics Opening Ceremony (4671 others checked-in) http://t.co/OmmTH7dt #GetGlueHD
koibraces	2012-07-24 16:26:25	I&#39;m watching The Dark Knight Rises (441 others checked-in) http://t.co/fVXuZvw7 @GetGlue #TheDarkKnightRises
koibraces	2012-07-20 20:32:16	@DeadmanDRB http://t.co/oIiiKVhA
koibraces	2012-07-20 05:45:03	I&#39;m watching The Dark Knight Rises (7425 others checked-in) http://t.co/fVXuZvw7 @GetGlue #TheDarkKnightRises
koibraces	2012-07-16 12:21:55	Thomas Jane Is Back As THE PUNISHER In New Short Film &quot;Dirty Laundry&quot; - http://t.co/YRY8mlcU
koibraces	2012-07-15 02:36:30	Man of steel teaser poster- http://t.co/iQi6iOYd
koibraces	2012-07-10 00:59:31	This film is fucking funny. http://t.co/pAaM37Bl @GetGlue #21JumpStreet
koibraces	2012-06-25 02:37:17	Re-watching from the beginning. http://t.co/HVP7sHZP @GetGlue @BreakingBad_AMC
koibraces	2012-06-24 02:40:51	Found my new belt buckle http://t.co/TI1gvUIb
koibraces	2012-06-11 23:32:58	@EmbaSaurus http://t.co/TrlEims9 you&#39;ll love it!
koibraces	2012-06-09 02:53:00	I&#39;m watching Dexter (111 others checked-in) http://t.co/220ynLWK @GetGlue @SHO_dexter
koibraces	2012-06-02 00:48:27	I&#39;m watching Mission: Impossible - Ghost Protocol http://t.co/CBivrQxq @GetGlue @ghostprotocol
koibraces	2012-05-16 15:01:57	I&#39;m watching White Collar (12 others checked-in) http://t.co/niRp0qZq @GetGlue @WhiteCollarUSA
koibraces	2012-05-12 23:41:08	Totally don&#39;t remember this being in an American tale: Fievel goes west. http://t.co/a3rtkpBW
koibraces	2012-05-05 23:41:33	Oh my god I need this cat now!!! http://t.co/yZ2FQAct
koibraces	2012-05-05 23:38:47	There are kittys on the Hoover! http://t.co/onSyJss4
koibraces	2012-05-05 23:37:12	Watched this about 5 times in a row, let&#39;s say it cheered me up. http://t.co/ydHu0f9x
koibraces	2012-05-03 23:11:29	I&#39;m watching MythBusters (85 others checked-in) http://t.co/QLaFDSuO @GetGlue @MythBusters
koibraces	2012-04-24 21:45:15	Watching the first episode while I&#39;m waiting for Sophie to finish work http://t.co/VF9lgVtE @GetGlue @parksandrecnbc
koibraces	2012-04-24 12:29:33	Best bit!  http://t.co/xczIb7yX
koibraces	2012-04-22 23:28:27	I&#39;m watching Supernatural (321 others checked-in) http://t.co/Dt1lxYc6 @GetGlue #Supernatural
koibraces	2012-04-01 10:33:02	The forth is the best one. RT @TrueAchievement: BioWare Lets Fans Choose Mass Effect 3&#39;s Ending - http://t.co/xnsHLU2c
koibraces	2012-03-25 03:19:38	I&#39;m watching Mad Men (344 others checked-in) http://t.co/20qJHeDz @GetGlue @MadMen_AMC
koibraces	2012-03-19 22:52:32	Last episode of season 2 :( http://t.co/B1K9zUVA @GetGlue @WalkingDead_AMC
